번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
3371,3250000-S197600001,1980-06-16,2023-10-26,사용중지,부산세관본부 지하1층,공공용시설,"부산광역시 중구 충장대로 20, 부산세관 (중앙동4가)",부산광역시 중구 중앙동4가 17번지 26호 부산세관,48940.0,지하,991.0,1201,2023-10-26 17:52:37,U,2023-10-28 02:40:00,35,6,16.89,129,2,18.41,35.10448352758026,129.03898041726208,1140261.524003,1679898.400404,부산광역시
3372,3250000-S198600001,1986-06-30,,사용중,부산무역회관 지하주차장 지하1층,공공용시설,"부산광역시 중구 충장대로 11 (중앙동4가, 무역회관빌딩)",부산광역시 중구 중앙동4가 87번지 7호,48939.0,지하,1205.0,1205,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,20.15,129,2,15.76,35.10554547870145,129.03771176810238,1140144.072484,1680014.397445,부산광역시
3373,3250000-S198800002,1988-05-01,,사용중,중앙동지하철역 지하1층,공공용시설,부산광역시 중구 중앙대로 지하 83 (중앙동4가),부산광역시 중구 중앙동4가 26번지 3호,48929.0,지하,2543.0,2543,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,13.77,129,2,10.64,35.10516095967745,129.0360821397546,1139996.196847,1679969.45794,부산광역시
3374,3250000-S198800003,1988-01-01,,사용중,광복지하도상가 지하1층,공공용시설,"부산광역시 중구 중앙대로 지하 17 (중앙동6가, 광복지하도상가)",부산광역시 중구 중앙동6가 9번지 1호,48955.0,지하,3666.0,3666,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,5,59.08,129,2,11.75,35.09928764507899,129.03632725183107,1140028.584497,1679318.383257,부산광역시
3375,3250000-S198900001,1989-02-05,,사용중,"부산우체국 지하1,2층",공공용시설,부산광역시 중구 중앙대로 63 (중앙동3가),부산광역시 중구 중앙동3가 1번지,48931.0,지하,2054.0,2054,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,12.95,129,2,9.29,35.1033948156617,129.03614501209648,1140004.948304,1679773.660244,부산광역시
3376,3250000-S199400002,1994-01-01,,사용중,국민은행 부산종합금융센터 지하주차장 지하1층,공공용시설,부산광역시 중구 중앙대로 49 (중앙동2가),부산광역시 중구 중앙동2가 15번지 1호,48957.0,지하,424.0,424,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,7.57,129,2,9.89,35.102064121992825,129.03621340331676,1140013.458117,1679626.166888,부산광역시
3377,3250000-S199400004,1994-01-01,,사용중,"산업은행 부산지점 지하주차장 지하1,2층",공공용시설,부산광역시 중구 대청로 136 (중앙동2가),부산광역시 중구 중앙동2가 44번지 1호,48956.0,지하,1008.0,1008,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,9.59,129,2,5.34,35.102720539268155,129.03483092304722,1139886.324141,1679697.028792,부산광역시
3378,3250000-S199400007,1994-01-01,,사용중,대동맨션 지하1층,공공용시설,부산광역시 중구 동광길93번길 5 (동광동5가),부산광역시 중구 동광동5가 16번지 11호,48925.0,지하,684.0,684,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,26.49,129,2,1.45,35.10705447130124,129.0344225690123,1139841.698465,1680177.139142,부산광역시
3379,3250000-S199400008,1994-01-01,,사용중,부산데파트 지하1층,공공용시설,"부산광역시 중구 중앙대로 21, 부산데파트 (중앙동6가)",부산광역시 중구 동광동1가 66번지 3호,48955.0,지하,1320.0,1600,2024-10-17 15:25:21,U,2024-10-19 02:40:00,35,5,57.78,129,2,10.7,35.099570610450506,129.036389361075,1140033.761893,1679349.854721,부산광역시
3380,3250000-S199400010,1994-01-01,,사용중,중구청 지하2층,공공용시설,부산광역시 중구 중구로 120 (대청동1가),부산광역시 중구 대청동1가 1번지 4호,48926.0,지하,264.0,320,2024-11-27 17:15:26,U,2024-11-29 02:40:00,35,6,22.48,129,1,56.84,35.10681287761287,129.03271816515212,1139686.764971,1680147.951728,부산광역시
3381,3250000-S199400012,1994-01-01,,사용중,새들맨션 지하1층,공공용시설,부산광역시 중구 중구로 81 (대청동4가),부산광역시 중구 대청동4가 79번지 1호,48968.0,지하,267.0,323,2024-11-27 17:15:56,U,2024-11-29 02:40:00,35,6,17.36,129,1,46.91,35.10461541444558,129.0298051598751,1139425.005193,1679900.145755,부산광역시
3382,3250000-S199400013,1994-01-01,,사용중,가톨릭센터 지하주차장 지하1층,공공용시설,부산광역시 중구 중구로 71 (대청동4가),부산광역시 중구 대청동4가 81번지 1호,48968.0,지하,314.0,380,2024-11-27 17:16:15,U,2024-11-29 02:40:00,35,6,14.07,129,1,43.18,35.10407056013006,129.02893651124967,1139346.758525,1679838.499469,부산광역시
3383,3250000-S199400014,1994-01-01,,사용중,메리놀병원 지하1층,공공용시설,부산광역시 중구 중구로 121 (대청동4가),부산광역시 중구 대청동4가 12번지 9호,48972.0,지하,687.0,832,2024-11-27 17:16:35,U,2024-11-29 02:40:00,35,6,25.89,129,1,55.26,35.10780277514282,129.03311574764098,1139721.312295,1680258.300665,부산광역시
3384,3250000-S199400016,1994-01-01,2023-10-26,사용중지,중부산세무서 지하1층,공공용시설,부산광역시 중구 흑교로 64 (보수동1가),부산광역시 중구 보수동1가 50번지 4호,48962.0,지하,261.0,316,2023-10-26 17:53:55,U,2023-10-28 02:40:00,35,6,19.35,129,1,29.3,35.10534062691746,129.02471275050644,1138959.619092,1679973.463485,부산광역시
3385,3250000-S199400017,1994-01-01,,사용중,중앙도서관 지하1층,공공용시설,"부산광역시 중구 망양로193번길 146, 중앙도서관 (보수동1가)",부산광역시 중구 보수동1가 산 3번지 41호 중앙도서관,48903.0,지하,1547.0,1547,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,35.91,129,1,37.08,35.11022644207793,129.0272570854524,1139183.214733,1680518.909973,부산광역시
3386,3250000-S199400018,1994-01-01,,사용중,청소년문화의 집 지하1층,공공용시설,부산광역시 중구 보수대로124번길 24-2 (보수동2가),부산광역시 중구 보수동2가 64번지 1호,48964.0,지하,62.0,62,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,20.62,129,1,21.45,35.105800101172434,129.0226769522842,1138773.286087,1680021.586035,부산광역시
3387,3250000-S199400025,1994-01-01,2023-06-13,사용중지,롯데하이마트 부산충무점 지하주차장 지하1층,공공용시설,부산광역시 중구 흑교로 4 (부평동2가),부산광역시 중구 부평동2가 57번지 1호,48979.0,지하,320.0,387,2023-06-13 17:04:25,I,2023-07-28 01:14:45,35,5,59.09,129,1,30.65,35.099741347842,129.0251917760714,1139012.788681,1679353.107496,부산광역시
3388,3250000-S199400026,1994-01-01,,사용중,부산은행 부평지점 지하주차장 지하1층,공공용시설,부산광역시 중구 대청로 56 (부평동2가),부산광역시 중구 부평동2가 2번지 1호,48977.0,지하,330.0,400,2024-01-29 11:01:57,U,2024-01-31 02:40:00,35,6,10.46,129,1,33.9,35.10293464902165,129.0260160479915,1139082.497034,1679708.431901,부산광역시
3389,3250000-S199400027,1994-01-01,,사용중,부평아파트 지하주차장 지하1층,공공용시설,부산광역시 중구 흑교로 34 (부평동2가),부산광역시 중구 부평동2가 77번지,48977.0,지하,437.0,529,2024-01-29 11:05:37,U,2024-01-31 02:40:00,35,6,8.83,129,1,31.35,35.10247871701163,129.0253613214145,1139023.594179,1679656.94977,부산광역시
3390,3250000-S199400031,1994-01-01,,사용중,IBK투자증권 부산센터 지하주차장 지하1층,공공용시설,부산광역시 중구 광복로97번안길 4 (광복동1가),부산광역시 중구 광복동1가 2번지,48952.0,지하,264.0,320,2024-11-27 17:19:03,U,2024-11-29 02:40:00,35,5,57.47,129,2,5.96,35.09930907602837,129.03509588105186,1139916.305372,1679319.02993,부산광역시
3391,3250000-S199400032,1994-01-01,,사용중,부산은행 신창동지점 지하1층,공공용시설,부산광역시 중구 광복중앙로 13 (신창동1가),부산광역시 중구 신창동1가 8번지 2호,48948.0,지하,206.0,249,2024-11-27 17:19:26,U,2024-11-29 02:40:00,35,6,2.17,129,1,51.32,35.10051001818883,129.03097682054008,1139538.796047,1679446.450457,부산광역시
3392,3250000-S199400035,1994-01-01,,사용중,우리저축은행 중앙지점 지하1층,공공용시설,부산광역시 중구 광복중앙로 25 (신창동1가),부산광역시 중구 신창동1가 5번지 1호,48948.0,지하,509.0,616,2024-11-27 17:19:46,U,2024-11-29 02:40:00,35,6,5.68,129,1,50.25,35.10153629335284,129.03079004657647,1139520.02228,1679560.014622,부산광역시
3393,3250000-S199400036,1994-01-01,,사용중,국제시장지하상가 지하1층,공공용시설,"부산광역시 중구 중구로 31 (신창동4가, 국제지하도상가)",부산광역시 중구 신창동4가 29번지 18호,48978.0,지하,2036.0,2036,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,6,2.31,129,1,39.66,35.100656165819856,129.0277247593264,1139242.118754,1679458.109128,부산광역시
3394,3250000-S199400038,1994-01-01,,사용중,지하철 자갈치역 지하1층,공공용시설,"부산광역시 중구 구덕로 지하 80 (남포동6가, 도시철도 자갈치역)",부산광역시 중구 남포동6가 117번지 1호,48981.0,지하,6416.0,6416,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,5,50.79,129,1,35.54,35.09760480544588,129.0270808881276,1139188.617067,1679118.778399,부산광역시
3395,3250000-S199400039,1994-01-01,,사용중,지하철 남포역 지하1층,공공용시설,"부산광역시 중구 구덕로 지하 12 (남포동1가, 도시철도 남포역)",부산광역시 중구 남포동1가 11번지,48954.0,지하,7054.0,7054,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,5,52.29,129,2,4.26,35.097913032542955,129.0343044564782,1139846.549751,1679163.081183,부산광역시
3396,3250000-S199400040,1994-01-01,,사용중,남포지하상가 지하1층,공공용시설,부산광역시 중구 구덕로 지하 44 (남포동6가),부산광역시 중구 남포동6가 83번지 2호,48981.0,지하,8687.0,8687,2025-03-27 18:52:25,U,2025-03-29 02:40:00,35,5,53.76,129,1,48.16,35.09833479565293,129.0309257175537,1139537.845462,1679205.121578,부산광역시
3397,3250000-S199400042,1994-01-01,,사용중,신한은행 자갈치역점 지하1층,공공용시설,부산광역시 중구 구덕로 86 (남포동6가),부산광역시 중구 남포동6가 66번지,48981.0,지하,578.0,700,2024-11-27 17:22:21,U,2024-11-29 02:40:00,35,5,51.12,129,1,34.82,35.09748426596568,129.02635546215757,1139122.696254,1679104.395851,부산광역시
