연번,민방위 대피시설명,시설구분,시설 주소,위도,경도,시설 면적,대피가능 인원수,개방여부,평상시 활용 유형,관리기관 전화번호,관리기관명
1,동부주공아파트,공공용,충청북도 괴산군 괴산읍 남산1길 25,36.80512719,127.7940712,2000,2424,Y,,,동부주공아파트
2,문무아파트 2단지,공공용,충청북도 괴산군 괴산읍 대덕리 557,36.82222167,127.8033575,4410,5345,Y,,,문무아파트 2단지
3,보건소,정부지원,충청북도 괴산군 괴산읍 동진천길 43,36.80799723,127.7966873,706,855,Y,,,보건소
4,문무아파트 1단지,공공용,충청북도 괴산군 괴산읍 서부리 902,36.80095898,127.7891235,3273,3967,Y,,,문무아파트 1단지
5,두진백로 아파트,공공용,충청북도 괴산군 괴산읍 읍내로 111-1,36.79828443,127.7821167,1907,2311,Y,,,두진백로 아파트
6,괴산읍사무소,정부지원,충청북도 괴산군 괴산읍 읍내로 13길 50,36.81185074,127.7906627,397,481,Y,,,괴산읍사무소
7,괴산농협,공공용,충청북도 괴산군 괴산읍 읍내로 16길 19,36.81005319,127.7974999,1772,2147,Y,,,괴산농협
8,태광아파트,공공용,"충청북도 괴산군 괴산읍 읍내로4길 51, 101동",36.80807919,127.7885268,2390,2897,Y,,,태광아파트
9,괴산군청,정부지원,"충청북도 괴산군 괴산읍 임꺽정로 90, 괴산군청",36.81574898,127.787533,694,841,Y,,,괴산군청
10,칠성면사무소,정부지원,충청북도 괴산군 칠성면 도정로 61,36.78813245,127.8636186,25,30,Y,,,칠성면사무소
11,신성미소지움 아파트,공공용,충청북도 단양군 단양읍 별곡3로 39-16,36.98882907,128.3635409,3652,4427,Y,지하주차장,043-421-1760,신성미소지움 아파트 관리사무소
12,성원아파트,공공용,충청북도 단양군 단양읍 별곡7길 12,36.98575012,128.3702068,1265,1522,Y,지하주차장,043-423-3618,성원아파트 관리사무소
13,부강아파트,공공용,충청북도 단양군 단양읍 별곡7길 4,36.9851057,128.3701459,661,801,Y,지하주차장,043-423-4759,부강아파트 관리사무소
14,㈜대명콘도 단양,공공용,충청북도 단양군 단양읍 삼봉로 187-17,36.97745496,128.3619453,8396,10177,Y,지하주차장,043-420-8328,(주) 대명콘도 단양 시설팀
15,두진아파트,공공용,충청북도 단양군 단양읍 상진2로 17,36.97834585,128.3584259,165,200,Y,기타(지하실),043-421-5174,두진아파트 관리사무소
16,다누리센터,공공용,충청북도 단양군 단양읍 수변로 111,36.98541224,128.3707534,1087,1318,Y,지하주차장,043-420-2950,단양군청 다누리센터관리사업소
17,단양군청,공공용,충청북도 단양군 단양읍 중앙1로 10,36.98455537,128.3662994,476,577,Y,기타(충무시설),043-420-2855,단양군청 안전건설과
18,단양교육지원청,공공용,충청북도 단양군 단양읍 중앙1로 15,36.98601985,128.3665053,86,104,Y,교육장,043-420-6114,단양교육지원청 운영지원과
19,㈜성신양회,공공용,충청북도 단양군 매포읍 매포길 18,37.01026417,128.3332474,353,428,Y,기타(지하실),043-420-4212,㈜성신양회 비상계획관
20,㈜한일시멘트,공공용,충청북도 단양군 매포읍 평동1길 80,37.02548842,128.3105352,895,1085,Y,지하주차장,043-420-5700,㈜한일시멘트 비상계획관
21,태양드림빌 아파트,공공용,충청북도 단양군 매포읍 평동38길 19,37.03084077,128.2963996,3575,4333,Y,지하주차장,043-422-7426,태양드림빌 관리사무소
22,한라아파트,공공용,충청북도 단양군 매포읍 평동4로 126,37.03357678,128.2976689,1388,1682,Y,지하주차장,043-422-7554,한라아파트 관리사무소
23,㈜한일시멘트 독신료,공공용,충청북도 단양군 매포읍 평동로 7,37.02501181,128.308329,495,600,Y,체육관,043-420-5700,㈜한일시멘트 비상계획관
24,보은군공공실버주택,공공용,충청북도 보은군 보은읍 군청길 110-17,36.485641,127.723431,742,899,y,지하주차장,043-540-3487,보은군청
25,보은군청,공공용,충청북도 보은군 보은읍 군청길 38,36.48970363,127.7297482,225,273,y,지하창고,043-540-3487,보은군청
26,거성아파트,공공용,충청북도 보은군 보은읍 남부로 4515,36.48592561,127.7210159,612,720,y,지하주차장,043-540-3487,보은군청
27,로얄팔레스,공공용,충청북도 보은군 보은읍 뱃들로 29,36.48809073,127.7259731,869,1053,y,지하창고,043-540-3487,보은군청
28,보은교회,공공용,충청북도 보은군 보은읍 보은로 136,36.48617495,127.7185229,158,192,y,지하창고,043-542-1973,보은교회
29,동진아파트,공공용,충청북도 보은군 보은읍 보은로 235,36.49523868,127.7170129,590,715,y,지하주차장,043-540-3487,보은군청
30,보은중앙교회,공공용,충청북도 보은군 보은읍 보청대로 1899,36.48831186,127.716824,187,226,y,지하창고,043-543-6447,보은중앙교회
31,신한헤센아파트,공공용,충청북도 보은군 보은읍 보청대로 1966,36.48525929,127.7107162,9774,11847,y,지하주차장,043-544-8188,신한헤센아파트
32,보은교육지원청,공공용,충청북도 보은군 보은읍 장신로 26,36.48125282,127.7134337,306,371,y,지하창고,043-540-5514,보은교육지원청
33,보은국토관리사무소,공공용,충청북도 보은군 보은읍 장신로 54,36.48102841,127.7093564,76,92,y,지하창고,043-540-2371,보은국토관리사무소
34,에스엠아파트,공공용,충청북도 보은군 보은읍 향교1길 8,36.48854794,127.712905,208,252,y,지하주차장,043-540-3487,보은군청
35,서한감고을아파트,공공용,충청북도 영동군 영동읍 기골로 7,36.17510799,127.781694,1812,2196,y,주차장,043-743-0116,서한감고을아파트 관리사무소
36,영동군청,공공용,충청북도 영동군 영동읍 동정로 1,36.1750612,127.7834335,247.5,300,y,구내식당,043-740-3913,영동군청
37,현대아파트 주차장,공공용,충청북도 영동군 영동읍 동정로 39-27,36.17605639,127.7848427,1322,1602,y,주차장,043-743-3960,현대아파트 관리사무소
38,이든팰리스,공공용,충청북도 영동군 영동읍 동정로 56-12,36.17382665,127.7867016,1885,2284,y,주차장,043-745-4330,이든팰리스 관리사무소
39,더웰아파트2차,공공용,충청북도 영동군 영동읍 상부용로 20,36.17889305,127.771853,2931,3552,y,주차장,043-744-5990,더웰아파트2차 관리사무소
40,더웰아파트1차,공공용,충청북도 영동군 영동읍 상부용로 7-50,36.17928527,127.7707607,1662,2014,y,주차장,043-742-2500,더웰아파트1차 관리사무소
41,조한아파트,공공용,충청북도 영동군 영동읍 새심길 18,36.16904121,127.7870528,2412,2923,y,주차장,043-744-8228,조한아파트 관리사무소
42,영동경찰서,공공용,충청북도 영동군 영동읍 영산로 32,36.17799191,127.7760374,165,200,y,주차장,043-740-5221,영동경찰서
43,영산타워,공공용,충청북도 영동군 영동읍 영산로 48,36.17911008,127.7750963,412.5,500,y,주차장,043-744-2025,영산타워 관리사무소
44,남성대아파트,공공용,충청북도 영동군 영동읍 학산영동로 1216,36.16944216,127.7721266,8000,9696,y,주차장,043-742-0544,남성대아파트 관리사무소
45,가화현대아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 가화3길 18,36.304179,127.560977,627,760,Y,기타,043-730-6612,충청북도 옥천군청
46,다산금빛아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 가화3길 6,36.30409852,127.5624745,1538,1864,Y,지하주차장,043-730-3046,충청북도 옥천군청
47,진달래아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 관성로1길 18,36.3032818,127.572958,2491,3019,N,기타,043-730-3046,충청북도 옥천군청
48,옥천읍사무소 비상대피시설,공공용,충청북도 옥천군 옥천읍 동부로 15,36.307271,127.574891,1462,1772,Y,지하주차장,043-730-3046,충청북도 옥천군청
49,하늘빛아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 동부로 16,36.30569707,127.5744427,6500,7878,Y,지하주차장,043-730-3046,충청북도 옥천군청
50,문정주공아파트 3단지 비상대피시설,공공용,충청북도 옥천군 옥천읍 문장로2길 10,36.30182933,127.5772299,1828,2215,N,기타,043-730-3046,충청북도 옥천군청
51,문정주공아파트 2단지 비상대피시설,공공용,충청북도 옥천군 옥천읍 문장로2길 9,36.30288528,127.5768102,2452,2972,Y,지하주차장,043-730-3046,충청북도 옥천군청
52,마암현대아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 성암1길 30,36.29551375,127.5704995,321,389,N,회의및 교육장,043-730-3046,충청북도 옥천군청
53,옥향아파트 비상대피시설,공공용,충청북도 옥천군 옥천읍 성왕로 1274,36.31650152,127.5787757,2247,2723,Y,지하주차장,043-730-3046,충청북도 옥천군청
54,장야주공아파트 1단지 비상대피시설,공공용,충청북도 옥천군 옥천읍 장야2길 6,36.2966219,127.5769466,6198,7512,N,기타,043-730-3046,충청북도 옥천군청
55,옥천군청 비상대피시설,공공용,충청북도 옥천군 옥천읍 중앙로 99,36.306228,127.5718112,1749,2083,Y,지하주차장,043-730-3046,충청북도 옥천군청
56,음성감곡휴먼시아아파트,공공용,충청북도 음성군 감곡면 오향로 31,37.10965288,127.645685,1888,2288,Y,주차장,043-871-3263,충청북도 음성군
57,덕일한마음아파트,공공용,충청북도 음성군 감곡면 음성로 2650-22,37.11147384,127.6448679,2313,2803,Y,주차장,043-871-3263,충청북도 음성군
58,주공1차아파트,공공용,충청북도 음성군 금왕읍 대금로 1457-7,36.9889164,127.5935454,2151,2607,Y,주차장,043-871-3263,충청북도 음성군
59,두진하트리움3차아파트,공공용,충청북도 음성군 금왕읍 대금로 1458-5,36.98807256,127.5943521,7728,9367,Y,주차장,043-871-3263,충청북도 음성군
60,음성금석LH아파트,공공용,충청북도 음성군 금왕읍 대금로 1557-13,36.99101821,127.6020314,10233,12403,Y,주차장,043-871-3263,충청북도 음성군
61,금왕시티프라디움,공공용,충청북도 음성군 금왕읍 대금로 1557-14,36.99235991,127.6046534,23794,28841,Y,주차장,043-871-3263,충청북도 음성군
62,유수장미아파트,공공용,충청북도 음성군 금왕읍 무극로 243,36.99192482,127.5887116,5777,7002,Y,주차장,043-871-3263,충청북도 음성군
63,금왕 주공3차아파트,공공용,충청북도 음성군 금왕읍 무극로324번길 15,36.99359474,127.5985739,2459,2980,Y,주차장,043-871-3263,충청북도 음성군
64,대소두진하트리움아파트,공공용,충청북도 음성군 대소면 대금로 552-12,36.96556241,127.4991549,1612,1953,Y,주차장,043-871-3263,충청북도 음성군
65,이안음성대소아파트,공공용,충청북도 음성군 대소면 대금로 686-1,36.96952008,127.5120523,20182,24463,Y,주차장,043-871-3263,충청북도 음성군
