번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
4841,3410000-S198000003,2008-01-02,,사용중,신성미소시티 지하1층~5층,공공용시설,"대구광역시 중구 달구벌대로 2051 (계산동2가, 신성미소시티아파트)",대구광역시 중구 계산동2가 100번지,41933.0,지하,18074.0,18074,2025-04-04 14:17:40,U,2025-04-06 02:40:00,35,52,0.22,128,35,17.51,35.86672716040076,128.58819757248716,1098243.281049,1763898.346896,대구광역시
4842,3410000-S198500012,1985-01-07,,사용중,대현프리몰 지하상가 지하1층,공공용시설,"대구광역시 중구 국채보상로 지하 580 (동성로2가, 대현프리몰)",대구광역시 중구 동성로2가 41번지 8호,41909.0,지하,5455.0,5455,2025-03-27 18:52:04,U,2025-03-29 02:40:00,35,52,15.01,128,35,42.67,35.87084977334846,128.59413114129663,1098773.871471,1764361.599517,대구광역시
4843,3410000-S198600003,1986-12-05,,사용중,청운맨션아파트 전체 동 지하1층,공공용시설,"대구광역시 중구 동덕로 33 (대봉동, 청운맨션아파트)",대구광역시 중구 대봉동 111번지 1호,41954.0,지하,2632.0,2632,2025-03-27 18:52:04,U,2025-03-29 02:40:00,35,51,29.59,128,36,17.23,35.85815392927296,128.6049923542796,1099770.330694,1762964.421587,대구광역시
4844,3410000-S198800001,1988-01-01,,사용중,삼성생명빌딩 지하1층~2층,공공용시설,"대구광역시 중구 국채보상로 528 (하서동, 삼성생명빌딩)",대구광역시 중구 하서동 13번지,41934.0,지하,3172.0,3172,2025-04-04 14:20:14,U,2025-04-06 02:40:00,35,52,11.6,128,35,18.15,35.86998195016383,128.5884056141813,1098258.045183,1764259.572378,대구광역시
4845,3410000-S199100011,1991-04-30,,사용중,대신지하상가 지하1층~2층,공공용시설,"대구광역시 중구 국채보상로 지하470, 대신지하상가 (대신동)",대구광역시 중구 대신동 115-1 대신지하상가,41925.0,지하,9036.0,9036,2025-03-27 18:52:04,U,2025-03-29 02:40:00,35,52,13.97,128,34,51.56,35.870461349972615,128.5818552396124,1097666.086036,1764306.183244,대구광역시
4846,3410000-S199200031,1992-01-02,,사용중,MS재건병원 지하1층,공공용시설,"대구광역시 중구 동덕로 194, MS재건병원 (동인동1가)",대구광역시 중구 동인동1가 358번지 2호 MS재건병원,41905.0,지하,789.0,956,2025-01-14 14:01:47,U,2025-01-16 02:40:00,35,52,18.76,128,36,17.61,35.87185888194824,128.60471470572315,1099728.086709,1764484.273069,대구광역시
4847,3410000-S199200032,1992-09-04,,사용중,드림상호저축은행 지하1층,공공용시설,"대구광역시 중구 국채보상로 645 (동인동2가, 드림상호저축은행)",대구광역시 중구 동인동2가 11번지,41914.0,지하,3671.0,3671,2025-03-27 18:52:04,U,2025-03-29 02:40:00,35,52,12.85,128,36,4.99,35.87001786547299,128.60133219784817,1099425.019289,1764276.624677,대구광역시
4848,3410000-S199300008,1993-09-01,,사용중,대백프라자 지하주차장 2층~5층,공공용시설,"대구광역시 중구 명덕로 333 (대봉동, 대백프라자)",대구광역시 중구 대봉동 214번지,41953.0,지하,8380.0,10157,2025-01-14 14:04:45,U,2025-01-16 02:40:00,35,51,20.68,128,36,23.03,35.85533074760023,128.60640732954477,1099901.637066,1762652.722958,대구광역시
4849,3410000-S199300010,1994-01-01,,사용중,진석타워 지하2층~5층,공공용시설,"대구광역시 중구 동덕로 115 (삼덕동2가, 진석타워)",대구광역시 중구 삼덕동2가 210번지 1호,41940.0,지하,10161.0,12316,2025-01-14 14:05:08,U,2025-01-16 02:40:00,35,51,54.34,128,36,9.59,35.86508510308494,128.60272975371672,1099557.36205,1763730.911435,대구광역시
4850,3410000-S199300014,1993-12-08,,사용중,KT대구지사 지하1층,공공용시설,"대구광역시 중구 동덕로 167 (동인동2가, KT 대구지사(동인동우체국))",대구광역시 중구 동인동2가 74번지 15호,41914.0,지하,11183.0,13555,2025-01-14 14:05:36,U,2025-01-16 02:40:00,35,52,11.0,128,36,12.58,35.86966908847067,128.60389591819816,1099656.910224,1764240.549013,대구광역시
