번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
7103,3640000-S198200002,1982-03-20,,사용중,구 지하상가 지하1층,공공용시설,"대전광역시 동구 중앙로 지하 200 (중동, 구지하상가)",대전광역시 동구 중동 317번지,34627.0,지하,4509.1,5465,2023-07-06 16:51:33,I,2023-07-28 01:14:45,36,19,50.68,127,25,52.85,36.3310574658591,127.43220845854108,993915.747877,1814855.694648,대전광역시
7104,3640000-S198800020,1988-03-20,,사용중,용운주공2단지아파트 206동 지하1층,공공용시설,"대전광역시 동구 백룡로 138 (용운동, 주공아파트)",대전광역시 동구 용운동 147번지,34652.0,지하,429.75,429,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,19,43.52,127,27,14.27,36.32873386342401,127.45401817401148,995873.034999,1814596.80753,대전광역시
7105,3640000-S198800023,1988-03-20,,사용중,용운주공2단지아파트 203동 지하1층,공공용시설,"대전광역시 동구 백룡로 138 (용운동, 주공아파트)",대전광역시 동구 용운동 147번지,34652.0,지하,495.87,495,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,19,43.52,127,27,14.27,36.32873386342401,127.45401817401148,995873.034999,1814596.80753,대전광역시
7106,3640000-S198800032,1988-03-20,,사용중,대전대학교 학생회관 식당(지하1층),공공용시설,대전광역시 동구 대학로 62 (대전대학교),대전광역시 동구 용운동 96번지 3호,34520.0,지하,1368.6,1368,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,20,6.92,127,27,29.82,36.33525655718825,127.4582843795763,996256.247976,1815320.136273,대전광역시
7107,3640000-S198800038,1988-03-20,,사용중,동대전성결교회 지하주차장 1층,공공용시설,"대전광역시 동구 미래길 4 (자양동, 동대전성결교회)",대전광역시 동구 자양동 281번지 3호,34610.0,지하,2371.9,2875,2024-01-24 14:49:26,U,2024-01-26 02:40:00,36,19,54.9,127,26,27.54,36.3319155465647,127.440982969537,994703.31340022,1814950.3573131396,대전광역시
7108,3640000-S198900008,1989-03-20,2024-01-29,사용중지,인동현대아파트101동 지하실(지하1층),공공용시설,"대전광역시 동구 대전로 664 (인동, 현대아파트)",대전광역시 동구 인동 179번지 1호,34635.0,지하,661.16,801,2024-02-01 09:06:43,U,2024-02-03 02:40:00,36,19,11.25,127,26,20.29,36.31979227377691,127.43897057158624,994521.855306,1813605.747707,대전광역시
7109,3640000-S198900013,1989-03-20,2024-01-29,사용중지,인동현대아파트106동 지하실(지하1층),공공용시설,대전광역시 동구 대전로 664 (인동),대전광역시 동구 인동 179번지 1호,34635.0,지하,383.59,464,2024-02-01 09:07:13,U,2024-02-03 02:40:00,36,19,11.25,127,26,20.29,36.31979227377691,127.43897057158624,994521.855306,1813605.747707,대전광역시
7110,3640000-S199000006,1990-03-20,,사용중,동대전정신병원 지하1층,공공용시설,대전광역시 동구 옥천로 315 (삼정동),대전광역시 동구 삼정동 118번지 5호,34502.0,지하,614.2,614,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,19,22.62,127,28,16.98,36.3229498830978,127.4713842556835,997431.487371,1813954.643455,대전광역시
7111,3640000-S199000022,1990-03-20,,사용중,평화아파트 지하주차장(지하1층),공공용시설,"대전광역시 동구 비래서로62번길 5 (가양동, 평화아파트)",대전광역시 동구 가양동 46번지 2호,34528.0,지하,331.0,331,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,21,14.11,127,27,4.31,36.35391580690807,127.45116296631429,995618.184992,1817390.138655,대전광역시
7112,3640000-S199100008,1991-03-20,,사용중,판암초등학교 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 32 (판암동, 대전판암초등학교)",대전광역시 동구 판암동 334번지 1호,34676.0,지하,1029.77,1029,2025-03-27 18:52:06,U,2025-03-29 02:40:00,36,18,57.64,127,27,40.02,36.31601199669117,127.46111622222304,996509.53245,1813185.410813,대전광역시
