번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
11942,4181000-S199000002,1990-01-01,,사용중,강원도청 충무시설,공공용시설,강원특별자치도 춘천시 중앙로 1(봉의동),강원특별자치도 춘천시 봉의동 15,24266.0,지하,1652.0,1652,2025-04-01 17:31:55,U,2025-04-03 02:40:00,37,53,5.3,127,43,46.77,37.88461664600646,127.7300644198301,1020230.66181,1987223.044813,강원특별자치도
11943,4181000-S199000007,1990-01-01,,사용중,봉의중학교,공공용시설,"강원특별자치도 춘천시 춘천로296번길 55 (후평동, 봉의중학교)",강원특별자치도 춘천시 후평동 498번지 120호,24290.0,지하,661.0,661,2025-04-01 17:53:01,U,2025-04-03 02:40:00,37,52,42.42,127,44,37.03,37.87762443566452,127.74357171864372,1021420.449798,1986450.273222,강원특별자치도
11944,4181000-S200000015,2000-06-23,,사용중,석사퇴계주공3단지아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 퇴계로 220-19 (석사동, 퇴계(3)주공아파트)",강원특별자치도 춘천시 석사동 820번지,24392.0,지하,1238.0,1238,2025-04-02 10:55:28,U,2025-04-04 02:40:00,37,51,18.03,127,44,34.53,37.85464528522932,127.7423248240354,1021317.412657,1983900.45572,강원특별자치도
11945,4181000-S200000016,2000-06-23,,사용중,석사퇴계주공4단지아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 퇴계로 242 (석사동, 퇴계(4)주공아파트)",강원특별자치도 춘천시 석사동 822번지,24393.0,지하,2145.0,2145,2025-04-02 10:56:47,U,2025-04-04 02:40:00,37,51,17.23,127,44,39.64,37.8553988750153,127.74519656749936,1021569.821895,1983984.725759,강원특별자치도
11946,4181000-S200000022,2000-06-23,,사용중,석사삼익세라믹2차아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 공지로 69-9 (석사동, 삼익세라믹아파트)",강원특별자치도 춘천시 석사동 114번지 5호,24396.0,지하,743.0,743,2025-04-02 10:18:23,U,2025-04-04 02:40:00,37,51,10.55,127,45,0.72,37.85317525035229,127.74991594241384,1021985.644012,1983739.116317,강원특별자치도
11947,4181000-S200000023,2000-06-23,,사용중,석사극동아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 공지로 43 (석사동, 극동아파트)",강원특별자치도 춘천시 석사동 115번지 10호,24397.0,지하,908.0,908,2025-04-02 10:23:22,U,2025-04-04 02:40:00,37,51,3.85,127,45,7.24,37.85151471952577,127.75224800941572,1022191.299022,1983555.432852,강원특별자치도
11948,4181000-S200000024,2000-06-23,,사용중,"진흥아파트 지하주차장 1,2층",공공용시설,"강원특별자치도 춘천시 후석로186번길 9 (석사동, 진흥아파트)",강원특별자치도 춘천시 석사동 727번지 5호,24322.0,지하,5413.0,5413,2025-04-02 10:06:41,U,2025-04-04 02:40:00,37,52,5.26,127,45,12.85,37.86760609131457,127.7534547592074,1022292.614925,1985341.053111,강원특별자치도
11949,4181000-S200000025,2000-06-23,,사용중,청구아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 서부대성로 332 (석사동, 청구아파트)",강원특별자치도 춘천시 석사동 727번지 6호,24316.0,지하,990.0,990,2025-04-02 10:07:53,U,2025-04-04 02:40:00,37,52,9.79,127,45,13.13,37.87000937251336,127.75388536835908,1022329.763921,1985607.799777,강원특별자치도
11950,4181000-S200000026,2000-06-23,,사용중,석사두산아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 후석로186번길 25 (석사동, 두산아파트)",강원특별자치도 춘천시 석사동 727번지 4호,24321.0,지하,1155.0,1155,2025-04-02 10:12:40,U,2025-04-04 02:40:00,37,52,5.44,127,45,18.81,37.86752935538638,127.75517702988084,1022444.120777,1985332.952006,강원특별자치도
11951,4181000-S200000027,2000-06-23,2024-04-23,사용중지,석사부영아파트 지하주차장 1층,공공용시설,"강원특별자치도 춘천시 우석로101번길 83 (석사동, 석사3지구 부영아파트)",강원특별자치도 춘천시 석사동 727번지 2호,24317.0,지하,1155.0,1400,2024-06-05 14:52:25,U,2024-06-08 02:40:00,37,52,10.34,127,45,18.93,37.86933843762701,127.75593021137824,1022509.816676,1985533.850814,강원특별자치도
