번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
6501,3590000-S197600002,1976-09-26,,사용중,동진맨션 B동 지하 1층,공공용시설,"광주광역시 동구 무등로 417-9 (산수동, 동진맨션)",광주광역시 동구 산수동 463번지 6호,61406.0,지하,341.0,341,2025-03-27 18:51:53,U,2025-03-29 02:40:00,35,9,29.57,126,55,46.75,35.158602748066315,126.92874091320095,947972.154404,1684966.074584,광주광역시
6502,3590000-S199500060,1995-03-01,,사용중,무들빌딩 지하1층 주차장,공공용시설,광주광역시 동구 갈마로 46 (산수동),광주광역시 동구 산수동 682번지,61409.0,지하,828.0,1003,2025-02-05 13:40:07,U,2025-02-07 02:40:00,35,9,41.43,126,56,7.98,35.16161311210132,126.93543056317009,948583.320431,1685296.449177,광주광역시
6503,3590000-S199600001,1996-11-01,,사용중,동구청 본관 지하 1층,공공용시설,"광주광역시 동구 서남로 1 (서석동, 동구청)",광주광역시 동구 서석동 31번지,61466.0,지하,694.22,841,2025-02-05 13:55:12,U,2025-02-07 02:40:00,35,8,44.5,126,55,24.69,35.14553978076103,126.92266404090364,947410.287553,1683520.574394,광주광역시
6504,3590000-S199700002,1997-03-10,,사용중,라인2차 202동 지하주차장 1층,공공용시설,"광주광역시 동구 의재로 149-7 (운림동, 라인2차아파트)",광주광역시 동구 운림동 654번지,61492.0,지하,1080.0,1309,2025-02-05 13:56:02,U,2025-02-07 02:40:00,35,7,58.56,126,56,39.05,35.13293408744568,126.94407479276668,949352.813508,1682111.49279,광주광역시
6505,3590000-S199700003,1997-03-11,,사용중,아남아파트 지하주차장(지하1층),공공용시설,"광주광역시 동구 의재로 23-8 (학동, 아남아파트)",광주광역시 동구 학동 676번지 1호,61459.0,지하,960.0,1163,2025-02-05 13:56:12,U,2025-02-07 02:40:00,35,8,1.01,126,55,49.94,35.13351995961123,126.93041643779544,948108.836326,1682183.499936,광주광역시
6506,3590000-S199700006,1997-03-11,,사용중,무등파크1차 지하주차장(지하1층),공공용시설,"광주광역시 동구 운림길 23 (운림동, 무등파크맨션)",광주광역시 동구 운림동 603번지,61491.0,지하,891.0,1080,2025-02-05 13:56:24,U,2025-02-07 02:40:00,35,8,3.44,126,56,29.02,35.13429150396529,126.94139206645336,949109.247581,1682263.398928,광주광역시
6507,3590000-S199800003,1998-03-10,,사용중,평화맨션 2동 지하1층,공공용시설,"광주광역시 동구 학소로 125 (학동, 평화맨션)",광주광역시 동구 학동 768번지,61463.0,지하,907.0,907,2025-03-27 18:51:53,U,2025-03-29 02:40:00,35,7,50.81,126,55,54.14,35.13078798098783,126.93207802296511,948258.486294,1681879.657416,광주광역시
6508,3590000-S199800005,1998-03-10,,사용중,무등파크3차 지하주차장(지하1층),공공용시설,"광주광역시 동구 의재로 123 (운림동, 무등파크맨션)",광주광역시 동구 운림동 628번지,61491.0,지하,1103.0,1336,2025-02-05 13:56:48,U,2025-02-07 02:40:00,35,7,57.51,126,56,28.18,35.1323888001647,126.941136447356,949084.775218,1682052.518941,광주광역시
6509,3590000-S199800006,1998-03-10,,사용중,무등스위트맨션 지하주차장(지하1층),공공용시설,"광주광역시 동구 운림길 68 (운림동, 무등스위트맨션)",광주광역시 동구 운림동 588번지,61492.0,지하,1122.0,1360,2025-02-05 13:57:02,U,2025-02-07 02:40:00,35,8,3.24,126,56,33.43,35.1340296539622,126.94255398391748,949214.940066,1682233.766312,광주광역시
6510,3590000-S199800007,1981-01-01,,사용중,계림초등학교 지하1층,공공용시설,"광주광역시 동구 중앙로 320 (계림동, 계림초등학교)",광주광역시 동구 계림동 85번지 24호,61412.0,지하,388.0,470,2025-02-05 13:37:56,U,2025-02-07 02:40:00,35,9,36.67,126,55,14.46,35.16035800336783,126.92180707695776,947341.7741147288,1685164.382073903,광주광역시
6511,3590000-S199800025,1998-05-26,2023-04-25,사용중지,시립산수도서관,공공용시설,"광주광역시 동구 경양로 355 (산수동, 시립산수도서관)",광주광역시 동구 산수동 401번지 58호,61418.0,지하,947.0,1147,2023-04-28 16:06:45,I,2023-07-28 01:14:45,35,9,15.88,126,55,42.25,35.15431521126723,126.92824687139382,947924.426402,1684490.841172,광주광역시
6512,3590000-S199900002,1999-04-13,,사용중,현대아파트 101동 지하주차장(지하1층),공공용시설,"광주광역시 동구 증심천로89번길 16 (학동, 현대아파트)",광주광역시 동구 학동 270번지,61461.0,지하,506.0,613,2025-02-05 13:57:19,U,2025-02-07 02:40:00,35,8,4.02,126,56,15.49,35.13454312769252,126.93600074540484,948618.235794,1682294.073374,광주광역시
6513,3590000-S199900003,1999-05-18,,사용중,라인광명아파트 지하주차장(지하1층),공공용시설,"광주광역시 동구 운림길 58 (운림동, 라인광명아파트)",광주광역시 동구 운림동 567번지 1호,61492.0,지하,1161.0,1407,2025-02-05 13:57:32,U,2025-02-07 02:40:00,35,8,4.65,126,56,33.31,35.13515283958774,126.94259499144012,949219.373434,1682358.307187,광주광역시
6514,3590000-S199900005,1999-06-14,,사용중,금호타운 지하1층 주차장,공공용시설,"광주광역시 동구 필문대로 12-7 (계림동, 금호타운)",광주광역시 동구 계림동 100번지 1호,61402.0,지하,5313.0,6440,2025-02-05 13:38:11,U,2025-02-07 02:40:00,35,9,48.27,126,55,23.08,35.163477515322306,126.92077319259523,947249.627448,1685510.887054,광주광역시
6515,3590000-S200000005,2000-08-22,,사용중,호반맨션 지하1층 주차장,공공용시설,"광주광역시 동구 화산로 328-6 (용산동, 호반아파트)",광주광역시 동구 용산동 147번지 1호,61509.0,지하,2097.0,2541,2025-02-05 14:02:44,U,2025-02-07 02:40:00,35,7,5.04,126,55,50.47,35.118124782796464,126.93104915180606,948156.724393,1680475.839575,광주광역시
6516,3590000-S200000023,2000-01-01,,사용중,두암타운101동 지하1층,공공용시설,"광주광역시 동구 밤실로 147 (산수동, 두암타운)",광주광역시 동구 산수동 568번지 1호,61408.0,지하,426.45,516,2025-02-05 13:40:24,U,2025-02-07 02:40:00,35,9,31.16,126,56,0.2,35.16067380092382,126.93503627535134,948546.819763,1685192.48249,광주광역시
