번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
5648,3490000-S198300001,1998-12-23,,사용중,신포지하상가 지하1층,공공용시설,"인천광역시 중구 우현로 지하67, 신포지하도상가 (답동)",인천광역시 중구 답동 24-3 신포지하도상가,22316.0,지하,1953.0,1953,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,23.26,126,37,45.58,37.47312743307429,126.6293286771712,923012.948963,1941900.908422,인천광역시
5649,3490000-S198800001,1998-12-22,,사용중,중구청 지하1층 통합방위상황실,공공용시설,"인천광역시 중구 신포로27번길 80 (관동1가, 중구청)",인천광역시 중구 관동1가 9번지 1호,22315.0,지하,571.0,571,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,25.01,126,37,19.86,37.47346889784852,126.6213512913531,922307.906543,1941945.344291,인천광역시
5650,3490000-S199600001,2012-03-13,,사용중,인하대병원 지하 1~3층,공공용시설,"인천광역시 중구 인항로 27 (신흥동3가, 인하대학병원)",인천광역시 중구 신흥동3가 7번지 206호,22332.0,지하,7843.0,9506,2024-07-10 11:35:23,U,2024-07-12 02:40:00,37,27,30.34,126,38,2.06,37.45788363392021,126.63363195899883,923377.907255,1940206.170705,인천광역시
5651,3490000-S199800008,1998-12-30,,사용중,풍림아파트 지하주차장 1~2층,공공용시설,"인천광역시 중구 인중로 109 (신흥동1가, 풍림아파트)",인천광역시 중구 신흥동1가 34번지 8호,22325.0,지하,2725.0,3303,2025-01-10 16:15:04,U,2025-01-12 02:40:00,37,27,54.88,126,37,50.12,37.46529386293093,126.63060605074465,923117.876924,1941030.766171,인천광역시
5652,3490000-S199800009,1998-12-30,,사용중,누리타워아파트 지하1층,공공용시설,"인천광역시 중구 인중로 96 (신흥동2가, 신흥동누리타워)",인천광역시 중구 신흥동2가 50번지 10호,22324.0,지하,3451.0,4183,2024-07-12 14:55:19,U,2024-07-14 02:40:00,37,27,56.36,126,37,57.95,37.465547759253774,126.6325471986243,923289.799122,1941057.351995,인천광역시
5653,3490000-S200200012,1998-04-07,,사용중,중앙로지하상가 지하1층,공공용시설,"인천광역시 중구 우현로 지하69, 중앙로지하도상가 (인현동)",인천광역시 중구 인현동 84-1 중앙로지하도상가,22316.0,지하,1228.0,1228,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,26.71,126,37,48.85,37.4750635285432,126.63101112479896,923163.700632,1942114.335334,인천광역시
5654,3490000-S200200013,1998-04-07,,사용중,인현지하상가 지하1층,공공용시설,"인천광역시 중구 참외전로 지하121, 인현지하도상가 (인현동)",인천광역시 중구 인현동 1-264 인현지하도상가,22317.0,지하,726.0,726,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,33.47,126,37,51.32,37.475633853770354,126.63108225472666,923170.573974,1942177.552326,인천광역시
5655,3490000-S200200014,1998-04-07,,사용중,새인천지하상가 지하1층,공공용시설,"인천광역시 중구 참외전로 지하123, 새동인천지하상가 (인현동)",인천광역시 중구 인현동 1-12 새동인천지하상가,22317.0,지하,395.0,395,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,33.24,126,37,53.26,37.47567498357572,126.63130567110584,923190.370872,1942181.933225,인천광역시
5656,3490000-S200200015,1998-04-07,,사용중,동인천지하상가 지하1층,공공용시설,"인천광역시 중구 참외전로 지하125, 동인천지하아케이드 (인현동)",인천광역시 중구 인현동 1-31 동인천지하아케이드,22317.0,지하,692.0,692,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,30.18,126,37,54.18,37.475250405702496,126.63136932187147,923195.564434,1942134.776291,인천광역시
5657,3490000-S200200016,1998-04-07,,사용중,구동인천지하상가 지하1층,공공용시설,"인천광역시 중구 참외전로 지하131-13, 동인천 구지하상가 (인현동)",인천광역시 중구 인현동 1-618 동인천 구지하상가,22317.0,지하,112.0,112,2025-03-27 18:53:05,U,2025-03-29 02:40:00,37,28,31.2,126,37,57.49,37.47520758192175,126.6324782860531,923293.577384,1942129.121226,인천광역시
