번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
17909,6510000-S197000001,2002-01-01,,사용중,제주시 열린정보센터(지하주차장 1층),공공용시설,"제주특별자치도 제주시 광양9길 17, 제주시열린정보센터 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 1176-50 제주시열린정보센터(지하주차장 1층),63208.0,지하,444.2,538,2023-06-09 16:58:05,I,2023-07-28 01:14:45,33,30,1.37,126,31,53.45,33.50030359450421,126.53144425183494,910033.962447,1501357.588355,제주특별자치도
17910,6510000-S197100001,2012-05-01,2024-10-28,사용중지,한국은행(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 복지로1길 20, 한국은행제주본부 지하주차장 1층~2층 (도남동)",제주특별자치도 제주시 도남동 669-1 한국은행제주본부(지하주차장 1층~2층),63220.0,지하,1542.06,1869,2024-10-28 16:39:58,U,2024-10-30 02:40:00,33,29,17.09,126,31,11.22,33.48796325113057,126.51999963032736,908957.951574,1499999.327518,제주특별자치도
17911,6510000-S198200004,1988-01-01,,사용중,중앙여자고등학교(지하 1층),공공용시설,"제주특별자치도 제주시 구남동5길 11, 제주중앙여자고등학교 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 1988-1 제주중앙여자고등학교(지하1층),63231.0,지하,684.0,684,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,29,23.78,126,32,22.84,33.48993888383244,126.539678543879,910788.217116,1500201.293368,제주특별자치도
17912,6510000-S198400004,1988-01-01,,사용중,전원예식장(지하 1층),공공용시설,"제주특별자치도 제주시 가령골2길 19-4, 전원예식장 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 321 전원예식장(지하1층),63214.0,지하,236.0,286,2023-06-09 16:54:53,I,2023-07-28 01:14:45,33,30,13.07,126,32,20.25,33.50363141669304,126.53895962168232,910735.483327,1501720.072445,제주특별자치도
17913,6510000-S198500004,2019-02-18,,사용중,제주종합경기장야구장(지하 1층),공공용시설,"제주특별자치도 제주시 서광로2길 24, 야구장 (오라일동)",제주특별자치도 제주시 오라일동 1165 야구장,63189.0,지하,148.8,148,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,29,53.11,126,30,46.34,33.4980863097239,126.51287327690832,908306.559609,1501127.997065,제주특별자치도
17914,6510000-S198701003,2019-02-07,,사용중,동방운수(지하 1층),공공용시설,제주특별자치도 제주시 선반로2길 5-3 (화북일동),제주특별자치도 제주시 화북일동 2126번지 6호,63297.0,지하,198.3,198,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,30,51.64,126,33,36.05,33.51426085020033,126.56020345808656,912719.422553,1502880.541831,제주특별자치도
17915,6510000-S198701005,1998-01-01,,사용중,우일아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 만덕로3길 19 (건입동, 우일아파트)",제주특별자치도 제주시 건입동 1004번지 4호,63279.0,지하,741.0,898,2022-01-06 14:37:01,I,2023-07-28 01:14:45,33,30,57.92,126,31,59.55,33.515911583299264,126.53311394334736,910205.184019,1503086.684086,제주특별자치도
17916,6510000-S198800002,2024-07-03,,사용중,제주아트플랫폼 (지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 중앙로14길 18 (삼도이동, 아카데미극장)",제주특별자치도 제주시 삼도이동 108번지 13호,63168.0,지하,2492.1,2492,2025-03-21 11:18:31,U,2025-03-23 02:40:00,33,30,41.73,126,31,21.33,33.5114816553921,126.52252972739178,909217.562355,1502604.723701,제주특별자치도
17917,6510000-S198800003,2019-02-25,,사용중,오리엔탈호텔(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 탑동로 47 (삼도이동, 제주오리엔탈호텔)",제주특별자치도 제주시 삼도이동 1197번지,63166.0,지하,2545.0,2545,2025-03-21 11:20:57,U,2025-03-23 02:40:00,33,31,3.31,126,31,10.14,33.51782289011482,126.51987874156517,908977.984433,1503310.134835,제주특별자치도
17918,6510000-S198801003,2019-02-14,,사용중,한국병원(지하 1층),공공용시설,제주특별자치도 제주시 서광로 193 (삼도일동),제주특별자치도 제주시 삼도일동 518번지,63183.0,지하,1312.0,1590,2023-04-29 17:46:18,I,2023-07-28 01:14:45,33,30,1.39,126,31,0.33,33.50013433690454,126.51710367236944,908701.683201,1501351.343965,제주특별자치도
17919,6510000-S198801004,2019-02-14,,사용중,세진아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 평전2길 5 (삼도일동),제주특별자치도 제주시 삼도일동 520번지,63183.0,지하,3196.0,3873,2023-04-29 17:51:06,I,2023-07-28 01:14:45,33,30,2.55,126,31,8.14,33.500780730112005,126.51846468436254,908828.786157,1501421.816763,제주특별자치도
17920,6510000-S198801015,2019-02-14,,사용중,농협중앙회제주지역본부(지하주차장 1층),공공용시설,제주특별자치도 제주시 서사로 56 (삼도일동),제주특별자치도 제주시 삼도일동 794번지 3호,63172.0,지하,513.0,621,2023-04-29 17:37:36,I,2023-07-28 01:14:45,33,30,27.18,126,31,10.05,33.50752972526018,126.51979723564598,908959.633923,1502168.945162,제주특별자치도
17921,6510000-S198801019,2019-02-07,,사용중,하이제주(지하 1층),공공용시설,제주특별자치도 제주시 선반남2길 29 (화북일동),제주특별자치도 제주시 화북일동 2152번지 6호,63297.0,지하,121.9,121,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,30,45.47,126,33,45.51,33.51238133856093,126.56263346835108,912943.227312,1502670.109294,제주특별자치도
17922,6510000-S198900003,2019-11-18,,사용중,제주우체국(지하 1층),공공용시설,"제주특별자치도 제주시 관덕로 33 (삼도이동, 제주우체국)",제주특별자치도 제주시 삼도이동 54번지,63166.0,지하,515.7,515,2025-03-21 15:14:35,U,2025-03-23 02:40:00,33,30,48.54,126,31,22.23,33.51337333112514,126.5228128756976,909245.835929,1502814.216675,제주특별자치도
17923,6510000-S199000003,2020-03-19,,사용중,영락교회(지하 1층),공공용시설,"제주특별자치도 제주시 동광로23길 15 (일도이동, 제주영락교회)",제주특별자치도 제주시 일도이동 153번지 5호,63251.0,지하,265.28,321,2023-04-11 11:54:30,I,2023-07-28 01:14:45,33,30,39.87,126,32,35.18,33.511135967232654,126.54342729794324,911158.140207,1502548.3076,제주특별자치도
17924,6510000-S199001006,2019-02-22,,사용중,용두암현대2차아파트 201동(지하주차장 1층),공공용시설,제주특별자치도 제주시 용담로5길 5 (용담삼동),제주특별자치도 제주시 용담삼동 581번지 3호,63151.0,지하,710.64,861,2021-12-31 12:01:12,I,2023-07-28 01:14:45,33,30,47.15,126,30,28.26,33.51327599273402,126.50816896470984,907885.657792,1502816.328838,제주특별자치도
17925,6510000-S199001015,1990-01-01,,사용중,성신빌라(지하주차장 1층),공공용시설,"제주특별자치도 제주시 사라봉3길 15 (건입동, 성신빌라)",제주특별자치도 제주시 건입동 666번지 19호,63283.0,지하,232.97,282,2021-12-31 12:01:54,I,2023-07-28 01:14:45,33,31,1.63,126,32,27.49,33.51711691188051,126.54090176964851,910929.702383,1503213.612338,제주특별자치도
17926,6510000-S199001016,1990-01-01,,사용중,사라미화맨션(지하주차장 1층),공공용시설,"제주특별자치도 제주시 사라봉7길 20 (건입동, 사라2차미화맨션)",제주특별자치도 제주시 건입동 672번지 5호,63283.0,지하,404.72,490,2021-12-31 12:02:25,I,2023-07-28 01:14:45,33,30,59.58,126,32,22.56,33.51642298208626,126.53965270362046,910812.986692,1503137.745612,제주특별자치도
17927,6510000-S199101005,1991-03-17,,사용중,구좌읍사무소(지하 1층),공공용시설,"제주특별자치도 제주시 구좌읍 일주동로 3116, 지하1층 (구좌읍사무소)",제주특별자치도 제주시 구좌읍 1561번지 7호,63360.0,지하,231.0,231,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,31,21.45,126,51,5.1,33.52281584573906,126.85223775394562,939847.646377,1503621.567904,제주특별자치도
17928,6510000-S199101006,1991-07-12,,사용중,조천읍사무소 지하 1층,공공용시설,"제주특별자치도 제주시 조천읍 신북로 194, 조천읍사무소",제주특별자치도 제주시 조천읍 조천리 3147-2 조천읍사무소,63331.0,지하,231.41,280,2024-07-16 18:20:38,U,2024-07-18 02:40:00,33,32,5.42,126,38,2.41,33.5348389203437,126.63400317254,919592.5948106712,1505102.4812085629,제주특별자치도
17929,6510000-S199101009,2019-02-22,,사용중,용두암1차현대아파트 104동(지하 1층),공공용시설,제주특별자치도 제주시 용담로5길 25 (용담삼동),제주특별자치도 제주시 용담삼동 505번지,63151.0,지하,920.0,920,2025-03-27 18:53:45,U,2025-03-29 02:40:00,33,30,54.59,126,30,27.84,33.51522534355469,126.5082854333198,907898.540804,1503032.361302,제주특별자치도
