번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
13321,4651000-S198800005,1988-10-20,2024-05-08,사용중지,풍남초등학교(병무청오거리 인근),공공용시설,전북특별자치도 전주시 완산구 견훤왕궁로 16 (남노송동),전북특별자치도 전주시 완산구 남노송동 507번지 1호,55033.0,지하,840.0,1018,2024-09-20 11:20:11,U,2024-09-22 02:40:00,35,49,19.07,127,9,10.81,35.82196519362892,127.1530022831366,968655.717697,1758442.615323,전북특별자치도
13322,4651000-S199000002,1990-01-01,,사용중,전주시립완산도서관(지하 1층),공공용시설,"전북특별자치도 전주시 완산구 곤지산4길 12 (동완산동, 전주시립도서관)",전북특별자치도 전주시 완산구 동완산동 464번지 1호,55098.0,지하,420.0,420,2025-03-27 18:53:41,U,2025-03-29 02:40:00,35,48,31.29,127,8,52.63,35.80945123075881,127.1477107047448,968172.733892,1757056.375459,전북특별자치도
13323,4651000-S199100001,1991-03-10,,사용중,우성아파트 지하주차장(1층),공공용시설,전북특별자치도 전주시 완산구 백제대로 13 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 705번지 5호,55092.0,지하,4336.0,5255,2025-01-14 17:45:47,U,2025-01-16 02:40:00,35,47,46.93,127,7,53.21,35.79636861147238,127.13144630361484,966697.874355,1755610.768173,전북특별자치도
13324,4651000-S199300005,1993-03-30,,사용중,기린봉아파트(지하주차장 1~2층),공공용시설,전북특별자치도 전주시 완산구 견훤로 100 (중노송동),전북특별자치도 전주시 완산구 중노송동 26번지 1호,55108.0,지하,1831.0,1831,2025-03-27 18:53:41,U,2025-03-29 02:40:00,35,49,13.82,127,9,46.81,35.820761359737844,127.1625949401889,969521.764864,1758306.066845,전북특별자치도
13325,4651000-S199500001,1995-02-01,,사용중,두일하나아파트(지하주차장 1층),공공용시설,"전북특별자치도 전주시 완산구 장승배기로 50 (삼천동1가, 두일하나아파트)",전북특별자치도 전주시 완산구 삼천동1가 306번지 8호,55132.0,지하,2482.0,3008,2024-10-19 12:59:47,U,2024-10-21 02:40:00,35,47,32.08,127,7,6.08,35.79198743356661,127.11854980933668,965530.66312,1755129.305925,전북특별자치도
13326,4651000-S199600004,1996-09-02,,사용중,평화1동지하보도(지하 1층),공공용시설,"전북특별자치도 전주시 완산구 장승배기로 256 (평화동1가, 평화1동주민센터)",전북특별자치도 전주시 완산구 평화동1가 445번지 8호,55120.0,지하,212.0,212,2025-03-27 18:53:41,U,2025-03-29 02:40:00,35,47,53.08,127,8,24.36,35.798147686487575,127.14029349820112,967498.025571,1755805.116462,전북특별자치도
13327,4651000-S199600005,1996-09-02,,사용중,한성아파트 (지하주차장 1층),공공용시설,"전북특별자치도 전주시 완산구 덕적골1길 33 (평화동1가, 한성아파트)",전북특별자치도 전주시 완산구 평화동1가 467번지,55120.0,지하,1155.0,1400,2024-01-17 18:38:23,I,2024-01-19 01:17:21,35,47,39.82,127,8,23.81,35.79445867699393,127.13987119409217,967458.363083,1755396.102929,전북특별자치도
13328,4651000-S199700003,1997-09-03,,사용중,일성아파트(지하주차장 1층),공공용시설,"전북특별자치도 전주시 완산구 평화19길 20 (평화동1가, 일성아파트)",전북특별자치도 전주시 완산구 평화동1가 522번지,55121.0,지하,1815.0,2200,2024-01-17 18:38:23,I,2024-01-19 01:17:21,35,47,38.92,127,8,20.5,35.795059774124546,127.13876279264856,967358.452129,1755463.140296,전북특별자치도
13329,4651000-S199700008,1997-01-31,,사용중,삼천하이츠 아파트(지하주차장 1층),공공용시설,"전북특별자치도 전주시 완산구 강변로 106 (삼천동1가, 삼천하이츠)",전북특별자치도 전주시 완산구 삼천동1가 722번지 2호,55085.0,지하,4580.0,4580,2025-03-27 18:53:41,U,2025-03-29 02:40:00,35,48,3.44,127,6,47.13,35.80056906164898,127.1115203608856,964899.226202,1756083.604643,전북특별자치도
13330,4651000-S199800003,1998-01-31,,사용중,삼천동남양아파트(지하주차장 1층),공공용시설,전북특별자치도 전주시 완산구 삼천천변1길 32 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 290번지 8호,55087.0,지하,4870.0,4870,2025-03-27 18:53:41,U,2025-03-29 02:40:00,35,47,40.09,127,6,49.69,35.79505251396366,127.1141313120106,965132.727496,1755470.822546,전북특별자치도
