번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
13964,4800000-S197700001,1990-01-02,,사용중,유달초등학교 방공호,공공용시설,전라남도 목포시 영산로10번길 10 (유달동),전라남도 목포시 유달동 8번지,58755.0,지상,122.0,147,2024-10-21 09:33:51,U,2024-10-23 02:40:00,34,47,8.33,126,22,43.27,34.78603008032527,126.37943731442172,897479.036047,1644072.010985,전라남도
13965,4800000-S197900001,1990-01-02,,사용중,한국농어촌공사 영산강사업단 지하1층,공공용시설,전라남도 목포시 영산로 463 (상동),전라남도 목포시 상동 509번지,58643.0,지하,640.0,640,2025-03-27 18:53:04,U,2025-03-29 02:40:00,34,48,31.14,126,24,54.11,34.807602023965394,126.41564754245915,900817.914059,1646427.954537,전라남도
13966,4800000-S198100001,1990-01-02,,사용중,목포의료원 지하 1층,공공용시설,"전라남도 목포시 이로로 18 (용해동, 목포시의료원)",전라남도 목포시 용해동 203번지,58701.0,지상,222.0,222,2025-03-27 18:53:04,U,2025-03-29 02:40:00,34,48,15.51,126,24,18.88,34.80414112953002,126.40572031729928,899905.680766,1646053.998042,전라남도
13967,4800000-S199000015,1990-01-01,,사용중,목포카톨릭회관 지하 1층,공공용시설,전라남도 목포시 영산로 325 (용당동),전라남도 목포시 용당동 1088번지 9호,58651.0,지하,417.0,417,2025-03-27 18:53:04,U,2025-03-29 02:40:00,34,48,21.57,126,24,3.92,34.80593663839593,126.4010327615291,899479.069471,1646257.804496,전라남도
13968,4800000-S199100006,1991-11-22,,사용중,근화타워맨션 지하 1층,공공용시설,전라남도 목포시 산정로 268-3 (연산동),전라남도 목포시 연산동 326번지 10호,58612.0,지하,541.0,655,2024-10-18 13:00:28,U,2024-10-20 02:40:00,34,48,41.79,126,23,12.6,34.81153058624712,126.38723157234485,898223.518013,1646892.083527,전라남도
13969,4800000-S199200019,1992-08-28,2024-08-27,사용중지,기아자동차 목포지점 지하주차장 1층,공공용시설,전라남도 목포시 영산로 495 (상동),전라남도 목포시 상동 135번지,58643.0,지하,873.0,1058,2024-08-27 09:53:54,U,2024-08-29 02:40:00,34,48,35.72,126,25,0.91,34.80993633785084,126.41676025451753,900922.488565,1646685.730052,전라남도
13970,4800000-S199400014,1994-01-01,,사용중,초원용해빌라 지하 1층,공공용시설,"전라남도 목포시 산정로238번길 56 (용당동, 초원용해빌라)",전라남도 목포시 용당동 1187번지 16호,58647.0,지하,278.0,278,2025-03-27 18:53:04,U,2025-03-29 02:40:00,34,48,36.5,126,23,39.86,34.810180208981656,126.3943732346357,898875.090299,1646735.106554,전라남도
13971,4800000-S199400015,1994-12-30,,사용중,목포시청 충무시설 지하 2층,공공용시설,전라남도 목포시 양을로 203 (용당동),전라남도 목포시 용당동 1188번지 2호,58613.0,지하,804.0,974,2024-10-18 11:11:23,U,2024-10-20 02:40:00,34,48,42.34,126,23,35.22,34.811334157145176,126.39229683891644,898686.579361,1646865.173808,전라남도
13972,4800000-S199500013,1995-01-01,,사용중,KT 목포지사 지하주차장 1층~2층,공공용시설,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)",전라남도 목포시 옥암동 980번지,58684.0,지하,1927.0,2335,2024-10-18 11:19:46,U,2024-10-20 02:40:00,34,48,30.33,126,25,55.78,34.80863437625543,126.43238920450196,902350.498422,1646526.024079,전라남도
13973,4800000-S199600037,1996-03-04,,사용중,해동교회 지하 1층,공공용시설,전라남도 목포시 죽교천로 7 (죽교동),전라남도 목포시 죽교동 573번지 280호,58718.0,지하,202.0,202,2025-03-27 18:53:04,U,2025-03-29 02:40:00,34,47,56.55,126,22,43.82,34.799024792139384,126.37890096032582,897446.054541,1645513.670652,전라남도
