번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
7866,3690000-S198000001,1980-01-01,2024-11-15,사용중지,농협 성남동지점 지하1층,공공용시설,울산광역시 중구 새즈믄해거리 28 (성남동),울산광역시 중구 성남동 62번지 3호,44529.0,지하,223.54,270,2024-11-15 16:32:33,U,2024-11-17 02:40:00,35,33,22.68,129,19,14.42,35.55628675792836,129.32035967566404,1164987.873646,1730445.352013,울산광역시
7867,3690000-S198500001,2001-06-01,,사용중,성남프라자 지하주차장 1층~3층,공공용시설,"울산광역시 중구 중앙3길 6 (성남동, 성남프라자)",울산광역시 중구 성남동 190번지 239호,44529.0,지하,3470.09,4206,2024-10-15 21:11:02,U,2024-10-17 02:40:00,35,33,16.46,129,19,3.34,35.55437844551037,129.3172404039367,1164709.033517,1730228.452157,울산광역시
7868,3690000-S198500002,1985-01-01,,사용중,국제강변아파트 지하1층,공공용시설,"울산광역시 중구 신기11길 10-10 (태화동, 국제강변아파트)",울산광역시 중구 태화동 26번지,44455.0,지하,973.0,973,2025-03-27 18:52:53,U,2025-03-29 02:40:00,35,33,14.13,129,18,2.26,35.55389802272498,129.30094589857325,1163232.964873,1730148.034197,울산광역시
7869,3690000-S198900001,1989-01-01,,사용중,양지동산맨션 지하주차장 1층,공공용시설,"울산광역시 중구 신기11길 22 (태화동, 양지동산맨션)",울산광역시 중구 태화동 157번지,44455.0,지하,991.74,991,2025-03-25 09:48:49,U,2025-03-27 02:40:00,35,33,13.41,129,17,58.12,35.55366399564902,129.299701218247,1163120.612511,1730120.01282,울산광역시
7870,3690000-S199000001,1996-01-25,,사용중,현대골든타워 지하1층,공공용시설,"울산광역시 중구 산전길 29 (동동, 현대골든타워)",울산광역시 중구 동동 470번지 6호,44488.0,지하,892.0,892,2025-03-28 16:14:36,U,2025-03-30 02:40:00,35,34,20.21,129,20,58.23,35.57209435948953,129.3496936524376,1167613.915599,1732248.354506,울산광역시
7871,3690000-S199000003,1990-01-01,,사용중,희마아파트 지하주차장 1층,공공용시설,"울산광역시 중구 신기12길 70 (태화동, 희마아파트)",울산광역시 중구 태화동 460번지 3호,44453.0,지하,1178.0,1178,2025-03-25 09:50:24,U,2025-03-27 02:40:00,35,33,14.01,129,17,39.93,35.55387668949855,129.29432928256674,1162633.231293,1730134.722239,울산광역시
7872,3690000-S199000004,1990-01-01,,사용중,선경아파트 지하1층,공공용시설,"울산광역시 중구 유곡로 77 (태화동, 선경맨션)",울산광역시 중구 태화동 200번지 1호,44458.0,지하,1322.32,1322,2025-03-27 18:52:53,U,2025-03-29 02:40:00,35,33,30.22,129,18,5.18,35.55843422515735,129.30142294726093,1163267.005431,1730652.000056,울산광역시
7873,3690000-S199000005,1990-01-01,,사용중,동덕현대아파트 지하1층,공공용시설,울산광역시 중구 유곡로 55 (유곡동),울산광역시 중구 유곡동 200번지 7호,44466.0,지하,1487.61,1487,2025-03-27 18:52:53,U,2025-03-29 02:40:00,35,33,45.11,129,17,41.77,35.556928150466014,129.30344727427712,1163453.553399,1730488.297544,울산광역시
7874,3690000-S199000006,1990-01-01,,사용중,남운파크 지하주차장 1층,공공용시설,"울산광역시 중구 화진4길 92 (태화동, 남운파크맨션)",울산광역시 중구 태화동 171번지,44451.0,지하,561.99,561,2025-03-25 10:01:02,U,2025-03-27 02:40:00,35,33,16.51,129,18,11.26,35.55472212703825,129.3034275604929,1163456.246741,1730243.563117,울산광역시
7875,3690000-S199100001,1991-01-01,,사용중,동덕현대아파트3동 건물 지하1층,공공용시설,"울산광역시 중구 손골2길 12 (복산동, 동덕현대아파트)",울산광역시 중구 복산동 329번지,44430.0,지하,780.0,780,2025-03-27 18:52:53,U,2025-03-29 02:40:00,35,33,57.25,129,19,35.58,35.56571179661928,129.32668178679884,1165541.548881,1731501.432913,울산광역시
