번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
12900,5650000-S199000027,2006-04-03,,사용중,신성미소지움아파트 지하주차장 1~2층,공공용시설,"충청남도 천안시 동남구 천안대로 483-8(구성동, 신성미소지움아파트)",충청남도 천안시 동남구 구성동 259 신성미소지움아파트,31193.0,지하,18740.0,22715,2024-01-28 11:28:34,U,2024-01-30 02:40:00,36,47,28.93,127,9,50.32,36.79136929466019,127.16397847894714,970020.590569,1865966.325316,충청남도
12901,5650000-S199200028,1992-01-01,,사용중,파고다아파트 지하주차장 지하1~2층,공공용시설,"충청남도 천안시 동남구 큰시장길 37 (영성동, 파고다주상복합아파트)",충청남도 천안시 동남구 영성동 80번지 4호,31131.0,지하,860.0,1042,2023-10-20 13:34:50,U,2023-10-22 02:40:00,36,48,8.12,127,9,3.48,36.8022562589493,127.15096744806,968864.16577637,1867178.17289956,충청남도
12902,5650000-S199600005,1996-01-01,,사용중,교보생명 지하주차장 1층,공공용시설,"충청남도 천안시 동남구 충절로 138 (원성동, 교보생명)",충청남도 천안시 동남구 원성동 129번지 2호,31127.0,지하,799.0,968,2023-07-11 16:10:02,I,2023-07-28 01:14:45,36,48,24.31,127,9,30.3,36.80663137766115,127.15849543675444,969537.443648,1867661.081231,충청남도
12903,5650000-S199600006,1996-01-01,,사용중,초원라이프아파트 지하주차장 1층,공공용시설,"충청남도 천안시 동남구 원성5길 17 (원성동, 초원라이프타운)",충청남도 천안시 동남구 원성동 481번지 1호,31126.0,지하,503.84,610,2023-07-11 16:10:39,I,2023-07-28 01:14:45,36,48,28.69,127,9,45.12,36.80797060600546,127.16253314459672,969898.136758,1867808.363529,충청남도
12904,5650000-S199600008,1996-10-01,,사용중,청수현대아파트 지하주차장 1~2층,공공용시설,"충청남도 천안시 동남구 풍세로 1010-31(청수동, 청수현대아파트)",충청남도 천안시 동남구 청수동 219-4 청수현대아파트,31191.0,지하,2706.0,3280,2024-01-24 16:13:19,U,2024-01-26 02:40:00,36,47,51.42,127,9,18.01,36.79761649000054,127.15500329231487,969222.332503,1866662.17672,충청남도
12905,5650000-S199700016,1997-06-02,,사용중,두레현대1단지아파트 지하주차장 1층,공공용시설,"충청남도 천안시 동남구 일봉로 34 (신방동, 두레현대아파트)",충청남도 천안시 동남구 신방동 895번지,31184.0,지하,6927.0,8396,2025-03-10 14:27:35,U,2025-03-12 02:40:00,36,47,35.73,127,7,55.95,36.793259409323895,127.13220879685451,967186.935719,1866186.422229,충청남도
12906,5650000-S199700017,1997-06-02,,사용중,두레현대2단지아파트 지하주차장 1층,공공용시설,"충청남도 천안시 동남구 서부대로 252 (신방동, 신방동두레현대아파트2단지)",충청남도 천안시 동남구 신방동 897번지,31184.0,지하,6749.0,8180,2025-03-10 14:30:01,U,2025-03-12 02:40:00,36,47,26.58,127,7,45.27,36.79071787138378,127.1292423199687,966921.183167,1865905.511008,충청남도
12907,5650000-S199700018,1997-01-01,,사용중,신동아아파트 지하주차장 1~2층,공공용시설,"충청남도 천안시 동남구 새말4길 5 (신방동, 신동아아파트)",충청남도 천안시 동남구 신방동 869번지,31181.0,지하,7686.0,9316,2025-03-10 14:31:06,U,2025-03-12 02:40:00,36,47,38.19,127,7,56.37,36.79394057147056,127.13232553871664,967197.641486,1866261.943536,충청남도
12908,5650000-S199800037,1998-01-01,,사용중,대흥동지하상가 지하 1~2층,공공용시설,"충청남도 천안시 동남구 버들로 지하 2 (대흥동, 지하상가)",충청남도 천안시 동남구 대흥동 30번지 7호,31128.0,지하,4260.0,5163,2024-10-21 13:28:03,U,2024-10-23 02:40:00,36,48,32.1,127,8,57.55,36.80932167569608,127.14815171047196,968615.867456,1867962.861445,충청남도
12909,5650000-S199800044,2007-03-02,,사용중,천안CGV 지하주차장 1층,공공용시설,"충청남도 천안시 동남구 명동길 47 (대흥동, CGV)",충청남도 천안시 동남구 대흥동 102번지 10호,31129.0,지하,1913.0,2318,2024-10-21 13:21:13,U,2024-10-23 02:40:00,36,48,27.77,127,8,54.15,36.80746732602374,127.14857503193062,968652.871043,1867757.019106,충청남도
