번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
15634,5310000-S198000001,1981-04-02,,사용중,촉석맨션 지하 1층,공공용시설,"경상남도 진주시 솔밭로92번길 5 (상평동, 촉석맨션)",경상남도 진주시 상평동 219-91 촉석맨션,52796.0,지하,985.2,1194,2024-09-02 11:00:03,U,2024-09-04 02:40:00,35,10,39.79,128,6,27.72,35.17742217679508,128.10746330485577,1055312.466734,1687072.707358,경상남도
15635,5310000-S198100001,1981-05-19,,사용중,제일병원,공공용시설,"경상남도 진주시 진주대로 885 (강남동, 제일병원)",경상남도 진주시 강남동 241번지,52709.0,지하,330.0,330,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,10,45.73,128,5,23.46,35.1795092215407,128.09065682743187,1053780.762455,1687294.945309,경상남도
15636,5310000-S198200001,1982-03-02,,사용중,경상남도농업기술원 본관 지하,공공용시설,"경상남도 진주시 대신로 570 (초전동, 경상남도농업기술원)",경상남도 진주시 초전동 1085번지 1호,52733.0,지하,423.0,423,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,12,41.31,128,7,0.28,35.21129725994758,128.11571773148648,1056040.812592,1690834.141689,경상남도
15637,5310000-S198600001,2008-01-21,,사용중,전윤숙조리직업전문학교 지하주차장,공공용시설,경상남도 진주시 동진로 125-0 (상대동),경상남도 진주시 상대동 291번지 21호,52788.0,지하,285.0,345,2023-06-12 19:22:18,I,2023-07-28 01:14:45,35,10,46.35,128,6,17.55,35.17954270404108,128.1048745826699,1055075.317704,1687306.440379,경상남도
15638,5310000-S198900001,1990-05-16,,사용중,상평대림아파트 지하 1층,공공용시설,"경상남도 진주시 남강로 951 (상평동, 대림아파트)",경상남도 진주시 상평동 277번지 1호,52808.0,지하,929.0,1126,2024-09-02 11:02:15,U,2024-09-04 02:40:00,35,10,27.54,128,6,0.73,35.17445837283896,128.09991050356606,1054626.721831,1686739.842379,경상남도
15639,5310000-S198900005,1989-08-26,,사용중,삼전3차아파트 지하 1층,공공용시설,"경상남도 진주시 하대로106번길 14 (하대동, 삼전3차아파트)",경상남도 진주시 하대동 323번지 2호,52767.0,지하,502.0,608,2023-12-27 15:26:09,U,2023-12-29 02:40:00,35,11,31.41,128,7,22.53,35.192062205280024,128.12319663009265,1056734.904701,1688705.177126,경상남도
15640,5310000-S198900008,1989-05-01,,사용중,진풍빌라 지하1층,공공용시설,"경상남도 진주시 진주성로178번길 8-5 (상봉동, 진풍아파트)",경상남도 진주시 상봉동 254번지 2호,52729.0,지하,144.0,144,2025-03-25 17:35:10,U,2025-03-27 02:40:00,35,12,21.29,128,4,30.14,35.20585411343446,128.075218040287,1052358.101015,1690208.396081,경상남도
15641,5310000-S199000003,1991-01-01,,사용중,89국민주택3차 지하 1층,공공용시설,"경상남도 진주시 남강로1069번길 4-1 (상평동, 국민주택3차)",경상남도 진주시 상평동 239-2 국민주택3차,52814.0,지하,298.0,361,2024-09-02 11:02:47,U,2024-09-04 02:40:00,35,10,8.66,128,6,34.44,35.169048734121795,128.10940267214167,1055494.747587,1686145.160386,경상남도
15642,5310000-S199000004,1990-08-16,,사용중,89국민주택1차 나동 지하 1층,공공용시설,"경상남도 진주시 남강로1093번길 14, 나동 (상평동, 국민1차아파트)",경상남도 진주시 상평동 250-1 국민1차아파트,52814.0,지하,264.0,320,2024-12-05 13:40:50,U,2024-12-07 02:40:00,35,10,9.89,128,6,42.66,35.16952423761445,128.11160438135715,1055694.922741,1686199.124993,경상남도
15643,5310000-S199000005,1991-01-01,,사용중,89국민주택1차 가동 지하 1층,공공용시설,"경상남도 진주시 남강로1093번길 14 (상평동, 국민1차아파트)",경상남도 진주시 상평동 250번지 1호,52814.0,지하,264.0,320,2024-09-02 11:03:24,U,2024-09-04 02:40:00,35,10,11.07,128,6,43.85,35.16952423761445,128.11160438135715,1055694.922741,1686199.124993,경상남도
15644,5310000-S199000008,1990-04-17,,사용중,삼호맨션 지하 1층,공공용시설,"경상남도 진주시 하대로106번길 13 (하대동, 하대삼호맨션)",경상남도 진주시 하대동 325번지,52767.0,지하,423.0,512,2023-12-27 15:26:34,U,2023-12-29 02:40:00,35,11,31.74,128,7,24.95,35.192090281268484,128.123309746693,1056745.183285,1688708.35537,경상남도
15645,5310000-S199100001,1991-01-01,,사용중,89국민주택2차 지하 1층,공공용시설,"경상남도 진주시 공단로236번길 24 (상평동, 89상평국민주택(2차))",경상남도 진주시 상평동 315-1 89상평국민주택(2차),52801.0,지하,397.0,481,2024-12-05 13:39:06,U,2024-12-07 02:40:00,35,10,25.44,128,7,31.46,35.17386484892941,128.12569086321503,1056974.677984,1686688.484009,경상남도
15646,5310000-S199100002,1992-01-01,2024-09-03,사용중지,동국강변타워1 지하 1층,공공용시설,"경상남도 진주시 큰들로66번길 12 (상평동, 동국강변아파트)",경상남도 진주시 상평동 227번지,52814.0,지하,926.0,1122,2024-09-04 09:06:16,U,2024-09-06 02:40:00,35,10,12.4,128,6,34.36,35.17001317959074,128.11015422916083,1055562.532281,1686252.538339,경상남도
15647,5310000-S199100003,1999-05-25,,사용중,무림페이퍼 지하 1층,공공용시설,경상남도 진주시 남강로 1003 (상평동),경상남도 진주시 상평동 281번지 1호,52809.0,지하,1243.0,1506,2024-09-02 11:04:09,U,2024-09-04 02:40:00,35,10,15.19,128,6,12.4,35.17095504354287,128.10235693679095,1054851.845209,1686352.664573,경상남도
15648,5310000-S199100007,1991-02-26,,사용중,일신아파트 지하 1층,공공용시설,"경상남도 진주시 하대로34번길 10 (하대동, 일신아파트)",경상남도 진주시 하대동 610번지 2호,52741.0,지하,2070.0,2509,2023-12-27 15:27:14,U,2023-12-29 02:40:00,35,11,36.14,128,6,53.11,35.19315069357096,128.11451813373094,1055944.070613,1688820.974138,경상남도
15649,5310000-S199100008,1991-06-28,,사용중,하영파크맨션 지하 1층,공공용시설,"경상남도 진주시 말티고개로100번길 16-6 (하대동, 하영파크아파트)",경상남도 진주시 하대동 676번지 6호,52742.0,지하,350.0,424,2023-12-27 15:26:55,U,2023-12-29 02:40:00,35,11,47.11,128,6,42.34,35.19638891166994,128.111515612823,1055668.516479,1689178.413108,경상남도
15650,5310000-S199100009,1991-03-07,,사용중,삼전프라자아파트 지하 2층,공공용시설,"경상남도 진주시 도동로 251 (하대동, 삼전프라자)",경상남도 진주시 하대동 315번지,52768.0,지하,4360.0,5284,2023-12-27 15:27:39,U,2023-12-29 02:40:00,35,11,34.08,128,7,16.49,35.192785760309874,128.12174838057516,1056602.554575,1688784.595213,경상남도
15651,5310000-S199100010,1991-05-03,,사용중,대화맨션 지하 1층,공공용시설,"경상남도 진주시 하대로105번길 4-1 (하대동, 대화파크맨션)",경상남도 진주시 하대동 306번지 1호,52763.0,지하,492.0,596,2023-12-27 15:27:59,U,2023-12-29 02:40:00,35,11,37.53,128,7,24.6,35.19355745079492,128.12348399696938,1056760.026486,1688871.166818,경상남도
15652,5310000-S199100016,1991-01-01,,사용중,그린타운(구)삼진빌라 지하주차장1층,공공용시설,"경상남도 진주시 석갑로156번길 19 (신안동, 그린타운)",경상남도 진주시 신안동 412번지,52674.0,지하,615.0,745,2023-06-07 17:52:05,I,2023-07-28 01:14:45,35,10,58.78,128,3,51.82,35.182642885765574,128.06410389740188,1051361.054057,1687628.435317,경상남도
15653,5310000-S199100017,1991-12-31,,사용중,하대대림아파트 지하 1층,공공용시설,"경상남도 진주시 도동천로 310 (하대동, 하대대림아파트)",경상남도 진주시 하대동 100번지,52764.0,지하,975.0,1181,2023-12-27 15:29:07,U,2023-12-29 02:40:00,35,11,37.37,128,7,40.05,35.193767995047565,128.12697415251145,1057077.616309,1688896.514989,경상남도
15654,5310000-S199200002,1993-01-14,,사용중,동국강변타워2 지하 1층,공공용시설,"경상남도 진주시 돗골로19번길 10 (상평동, 동국강변타워)",경상남도 진주시 상평동 209번지 2호,52814.0,지하,979.0,1186,2024-09-02 11:04:43,U,2024-09-04 02:40:00,35,10,12.39,128,6,43.0,35.16998760360173,128.11185119637975,1055717.082806,1686250.651183,경상남도
15655,5310000-S199200005,1992-05-23,,사용중,도동대림아파트 지하 1층,공공용시설,"경상남도 진주시 하대로40번길 4 (하대동, 도동대림아파트)",경상남도 진주시 하대동 585번지 2호,52761.0,지하,1025.0,1242,2023-12-27 15:29:34,U,2023-12-29 02:40:00,35,11,32.88,128,6,55.04,35.19241637134164,128.11522601903727,1056009.019411,1688739.935014,경상남도
15656,5310000-S199200006,1992-05-23,,사용중,흥한아파트 지하 1층,공공용시설,"경상남도 진주시 선학산길 97-1 (하대동, 흥한하대아파트)",경상남도 진주시 하대동 412번지,52761.0,지하,179.0,216,2023-12-27 15:24:32,U,2023-12-29 02:40:00,35,11,18.24,128,6,49.79,35.188572660662146,128.11397925083725,1055898.147098,1688312.958673,경상남도
15657,5310000-S199200007,1992-07-01,,사용중,대경아파트 지하 1층,공공용시설,"경상남도 진주시 도동로264번길 31 (하대동, 대경하대아파트)",경상남도 진주시 하대동 299번지 2호,52763.0,지하,588.0,712,2023-12-27 15:30:09,U,2023-12-29 02:40:00,35,11,39.33,128,7,29.61,35.194110963027164,128.12519067719154,1056915.013322,1688933.528241,경상남도
15658,5310000-S199200008,1992-07-23,,사용중,대영아파트,공공용시설,"경상남도 진주시 말티고개로 102-5 (하대동, 하대대영아파트)",경상남도 진주시 하대동 654번지 2호,52742.0,지하,992.0,992,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,11,45.52,128,6,45.05,35.196525315201406,128.11262836266184,1055769.722265,1689194.164276,경상남도
15659,5310000-S199200010,1992-06-16,,사용중,동국한양빌라 지하 1층,공공용시설,경상남도 진주시 문산읍 월아산로 1094 (한양빌라),경상남도 진주시 문산읍 816번지 2호,52832.0,지하,683.0,683,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,10,6.75,128,9,46.64,35.168631701966945,128.16258911969095,1060338.505635,1686129.87926,경상남도
15660,5310000-S199300001,1993-12-30,,사용중,삼전빌라 지하주차장1층,공공용시설,"경상남도 진주시 의병로243번길 4 (봉래동, 삼전빌라)",경상남도 진주시 봉래동 38번지 15호,52744.0,지하,1289.51,1563,2023-10-29 20:48:51,U,2023-10-31 02:40:00,35,12,0.28,128,5,5.59,35.200218057590554,128.08455496839088,1053211.66291,1689588.306083,경상남도
15661,5310000-S199300004,1993-01-01,,사용중,초전일동아파트 지하 1층,공공용시설,"경상남도 진주시 초전북로 20-1 (초전동, 초전일동아파트)",경상남도 진주시 초전동 1426번지,52736.0,지하,902.0,1093,2024-01-24 10:50:02,U,2024-01-26 02:40:00,35,12,26.91,128,6,34.01,35.20758742099181,128.10916631071677,1055447.036124,1690419.037251,경상남도
15662,5310000-S199400001,1994-07-30,,사용중,동성가든타워 지하2층,공공용시설,"경상남도 진주시 진주대로 901 (강남동, 동성가든타워)",경상남도 진주시 강남동 219번지,52709.0,지하,9647.0,11693,2024-07-18 17:06:24,U,2024-07-20 02:40:00,35,10,50.87,128,5,23.93,35.180829963124204,128.0899921418124,1053719.371443,1687441.05825,경상남도
15663,5310000-S199400004,1994-05-28,,사용중,덕산아파트 지하1층,공공용시설,"경상남도 진주시 서장대로178번길 17 (이현동, 진주덕산아파트)",경상남도 진주시 이현동 235번지 1호,52669.0,지하,1384.0,1677,2024-01-05 10:18:08,U,2024-01-07 02:40:00,35,11,14.9,128,3,34.11,35.18729330397386,128.05875457795855,1050871.100809,1688141.423133,경상남도
15664,5310000-S199400005,1994-04-11,,사용중,판문동 현대아파트 102동 지하1층,공공용시설,"경상남도 진주시 진양호로51번길 6-7 (판문동, 현대아파트)",경상남도 진주시 판문동 269번지 13호,52648.0,지하,576.0,576,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,10,4.29,128,2,45.02,35.16765985753273,128.0462555422903,1049745.090005,1685957.727465,경상남도
15665,5310000-S199400006,1994-04-11,,사용중,판문동 현대아파트 103동 지하1층,공공용시설,"경상남도 진주시 진양호로51번길 6-7 (판문동, 현대아파트)",경상남도 진주시 판문동 269번지 13호,52648.0,지하,383.0,383,2025-03-27 18:51:23,U,2025-03-29 02:40:00,35,10,5.77,128,2,46.12,35.16765985753273,128.0462555422903,1049745.090005,1685957.727465,경상남도
15666,5310000-S199400021,1994-01-01,,사용중,대경그린파크 지하주차장 1층,공공용시설,"경상남도 진주시 순환로573번길 21 (평거동, 대경그린파크)",경상남도 진주시 평거동 136번지 6호,52678.0,지하,737.0,893,2023-06-07 17:55:27,I,2023-07-28 01:14:45,35,10,23.33,128,3,27.89,35.17320376282873,128.0575495409722,1050770.149379,1686578.259059,경상남도
15667,5310000-S199400022,1994-04-11,,사용중,하영그린맨션A동 지하1층,공공용시설,"경상남도 진주시 진양호로97번길 8-3 (평거동, 하영그린맨션)",경상남도 진주시 평거동 742번지,52649.0,지하,928.0,1124,2024-01-24 11:20:00,U,2024-01-26 02:40:00,35,10,6.28,128,3,3.51,35.16796970091325,128.05079267782787,1050158.081024,1685994.367798,경상남도
15668,5310000-S199400024,1994-04-11,,사용중,한보타운 지하1층,공공용시설,"경상남도 진주시 진양호로97번길 19-6 (평거동, 한보타운)",경상남도 진주시 평거동 737번지,52649.0,지하,3108.0,3767,2024-01-24 11:25:47,U,2024-01-26 02:40:00,35,10,8.79,128,2,59.8,35.16907683387054,128.04982872216252,1050069.618553,1686116.664329,경상남도
15669,5310000-S199400025,1994-04-11,,사용중,벽산동신2아파트 지하1층,공공용시설,"경상남도 진주시 진양호로125번길 22-12 (평거동, 벽산동신2아파트)",경상남도 진주시 평거동 401번지,52649.0,지하,1532.0,1856,2024-01-24 11:27:04,U,2024-01-26 02:40:00,35,10,15.04,128,3,9.06,35.170663086345925,128.0526581396183,1050326.301994,1686294.009316,경상남도
15670,5310000-S199500001,1995-06-12,,사용중,강남빌딩,공공용시설,경상남도 진주시 진주대로 977 (강남동),경상남도 진주시 강남동 27번지 1호,52708.0,지하,239.0,289,2024-07-18 17:06:48,U,2024-07-20 02:40:00,35,11,13.04,128,5,12.51,35.187068795113575,128.0868645042826,1053430.509911,1688131.269197,경상남도
15671,5310000-S199500002,1995-01-01,,사용중,초전대림아파트 지하 1층,공공용시설,"경상남도 진주시 말티고개로 113 (초전동, 초전대림아파트)",경상남도 진주시 초전동 702번지 22호,52737.0,지하,1914.0,2320,2024-01-24 10:52:09,U,2024-01-26 02:40:00,35,11,50.25,128,6,50.54,35.19666673139346,128.11384123520153,1055880.038912,1689210.528776,경상남도
15672,5310000-S199500005,1995-01-01,,사용중,흥한스위트아파트지하 1~3층,공공용시설,"경상남도 진주시 신안로 94 (신안동, 흥한스위트)",경상남도 진주시 신안동 14번지 1호,52693.0,지하,4496.0,5449,2024-10-16 14:17:45,U,2024-10-18 02:40:00,35,11,11.74,128,4,15.51,35.18658679617159,128.07077525905714,1051965.970389,1688069.286995,경상남도
15673,5310000-S199500006,1995-01-01,,사용중,현대아파트 104동 지하1층,공공용시설,"경상남도 진주시 천수로 315 (신안동, 현대아파트)",경상남도 진주시 신안동 20번지,52694.0,지하,770.0,933,2023-10-13 14:37:04,U,2023-10-15 02:40:00,35,11,3.69,128,4,20.56,35.184673117459845,128.0717737646828,1052058.100335,1687857.579546,경상남도
15674,5310000-S199500007,1995-01-01,,사용중,현대아파트 105동 지하1층,공공용시설,"경상남도 진주시 천수로 315 (신안동, 현대아파트)",경상남도 진주시 신안동 20번지,52694.0,지하,711.0,861,2024-10-16 14:17:26,U,2024-10-18 02:40:00,35,11,1.67,128,4,17.04,35.184673117459845,128.0717737646828,1052058.100335,1687857.579546,경상남도
