번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),시도
17404,5690000-S200000019,2000-01-01,,사용중,세종e편한세상 아파트 지하1층주차장,공공용시설,세종특별자치시 조치원읍 섭골길 59,세종특별자치시 조치원읍 신안리 542번지,30016.0,지하,32094.0,38901,2023-06-21 17:17:56,I,2023-07-28 01:14:45,36,36,55.71,127,17,3.77,36.61556780694872,127.28733897872124,980983.414043,1846433.469294,세종특별자치시
17405,5690000-S200000022,2000-01-01,,사용중,신흥주공2단지아파트 지하1층주차장,공공용시설,세종특별자치시 조치원읍 이화로 5,세종특별자치시 조치원읍 신흥리 393번지,30032.0,지하,3636.0,4407,2023-06-21 17:18:28,I,2023-07-28 01:14:45,36,35,38.6,127,17,23.04,36.594499838704415,127.2886083012038,981091.778177,1844096.231483,세종특별자치시
17406,5690000-S200800001,2020-11-12,,사용중,신흥푸르지오아파트 지하1층주차장,공공용시설,세종특별자치시 조치원읍 도원1로 16(푸르지오1차),세종특별자치시 조치원읍 신흥리 398 푸르지오1차,30032.0,지하,21130.0,25612,2023-08-23 13:42:15,U,2023-08-25 02:40:00,36,35,29.74,127,17,24.07,36.59159396899189,127.29001889030694,981217.24621,1843773.618795,세종특별자치시
17407,5690000-S201100001,2020-11-12,,사용중,자이아파트 지하1층주차장,공공용시설,세종특별자치시 조치원읍 도원로 16(자이아파트),세종특별자치시 조치원읍 죽림리 396 자이아파트,30039.0,지하,17767.0,21535,2023-08-23 13:41:47,U,2023-08-25 02:40:00,36,35,18.62,127,17,25.06,36.58850484946036,127.29029399220988,981241.106439,1843430.902001,세종특별자치시
17408,5690000-S201100003,2011-01-31,,사용중,신동아파밀리에아파트 지하1층주차장,공공용시설,세종특별자치시 조치원읍 도장말길 30 (조치원신동아파밀리에),세종특별자치시 조치원읍 393번지,30037.0,지하,6880.0,8339,2023-06-21 17:19:21,I,2023-07-28 01:14:45,36,35,23.75,127,17,50.67,36.58960207427065,127.29694768955368,981836.559443,1843551.334608,세종특별자치시
17409,5690000-S201200002,2012-12-14,,사용중,첫마을2단지아파트 지하주차장 1층~3층,공공용시설,세종특별자치시 노을1로 16 (한솔동),세종특별자치시 한솔동 946번지,30130.0,지하,21280.0,25793,2023-06-13 16:29:41,I,2023-07-28 01:14:45,36,28,49.01,127,15,38.09,36.4800938955119,127.26049439756078,978545.505086,1831411.663791,세종특별자치시
17410,5690000-S201200005,2012-12-14,,사용중,첫마을5단지아파트 지하주차장 1층,공공용시설,"세종특별자치시 누리로 59 (한솔동, 첫마을5단지)",세종특별자치시 한솔동 1045번지,30130.0,지하,39550.0,47939,2023-06-01 13:38:14,I,2023-07-28 01:14:45,36,28,32.98,127,14,54.09,36.47752952452721,127.24982487785864,977589.007912,1831129.642207,세종특별자치시
17411,5690000-S201200006,2012-12-14,,사용중,첫마을7단지아파트 지하주차장 1층~2층,공공용시설,세종특별자치시 나리로 38 (한솔동),세종특별자치시 한솔동 978번지,30130.0,지하,44970.0,54509,2023-06-13 16:30:16,I,2023-07-28 01:14:45,36,28,27.28,127,15,19.35,36.47424324710431,127.2553750468356,978085.274481,1830763.839639,세종특별자치시
17412,5690000-S201400002,2014-02-24,,사용중,범지기마을8단지아파트 지하주차장 1~2층,공공용시설,"세종특별자치시 달빛로 165 (아름동, 범지기마을8단지)",세종특별자치시 아름동 1279번지,30100.0,지하,23086.0,27983,2025-01-10 10:27:34,U,2025-01-12 02:40:00,36,30,49.52,127,15,0.67,36.51375522758172,127.25018571022213,977631.752148,1835147.863273,세종특별자치시
17413,5690000-S201400004,2014-02-24,,사용중,한뜰마을2단지아파트 어진동 지하주차장1~2층,공공용시설,"세종특별자치시 갈매로 480 (어진동, 한뜰마을2단지)",세종특별자치시 어진동 603번지,30104.0,지하,23074.0,27968,2024-01-24 16:33:18,U,2024-01-26 02:40:00,36,30,19.98,127,16,7.41,36.505549570457234,127.2687252935366,979289.594103,1834233.509191,세종특별자치시
